Issue ID,First Observed,Last Observed,CVE,Vulnerability,domain,Certificate Common Name,ipAddress,ipAddresses,hostname,port,Destination IP Address,Destination Port,email,productName,productVersion,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
59da6633-088f-5913-ad70-1a4a0c3d62a7,,,,,nyucost.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:12.351Z
f2ff5177-2666-5a28-9e97-5c67099ccf81,,,,,nyugraduateschool.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:12.128Z
fb988763-e6c4-5a5e-83af-1d4568c05d04,,,,,nyubusiness.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:12.113Z
8cdd3518-c96f-5bee-ad64-ffb62aa0844c,,,,,nyufilmdepartment.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:11.727Z
b5500d40-7a8c-5ce8-80bb-bc525d3e2599,,,,,nyuprograms.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:11.727Z
1d447771-7728-5dd0-b170-3b488edf4797,,,,,filmcenternyu.info,,,,,,,,,,,,,,,,,,,2020-02-29T20:34:10.976Z
4993fbb5-67f9-5e41-b9b2-4355c2347df7,,,,,nyutischfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:42:24.999Z
f2627221-f178-554e-817c-fca9e14353b8,,,,,nyucollege.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:42:24.955Z
8161d2d1-d1cf-5657-a907-7dcc15ac0922,,,,,nyufilmstudies.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:42:23.412Z
0261b3bc-9e34-543f-a1cc-23e2e605528e,,,,,nyuschools.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:50.000Z
58cba96e-9e05-5e8f-a952-82e8a1092d88,,,,,nyugradfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:49.996Z
485cd266-293e-50ce-b867-bfeb9197d008,,,,,nyutheatre.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:49.957Z
5928d0bb-8705-56de-9ca6-871390847b94,,,,,nyucantorfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:49.931Z
54d981e6-d1bb-5031-916a-a18e92662f7c,,,,,nyuapplication.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:48.767Z
b5b23ae3-ac8d-55d6-af93-39bd66f22917,,,,,nyumedicalschool.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:48.737Z
04783db5-e008-5bc5-85de-4b51b73a2e16,,,,,nyusummerfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:48.710Z
b0a5fe59-50a9-5b9c-a0db-53c99f1d000c,,,,,nyuhighschool.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:48.710Z
9520c41f-edb9-58e0-85ca-1637dc427361,,,,,nyulawschool.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:48.003Z
776ad305-98ed-5960-8c4d-5c03d0f41863,,,,,nyugraduateprograms.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:47.996Z
10b2708d-5c4b-5118-8e5c-2a39e70cc683,,,,,nyudrama.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:40:46.128Z
990700f0-6883-5b69-bc17-56fa32710f23,,,,,nyufreshman.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:38:47.692Z
b16966cc-12fc-5e4d-acd1-8bce788c742d,,,,,nyushortfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:38:47.075Z
cbc7cc84-8120-5581-bfe1-c924abc80a02,,,,,nyunewyork.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:38:47.031Z
3f5e0ef0-7a82-57c1-b934-804c1863f351,,,,,nyustatistics.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:38:47.023Z
c6a0b908-eb06-5868-aa97-cb15d5c16c36,,,,,filmschoolnyu.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:38:44.695Z
794dbe8f-1e1e-51d0-8fb4-11575b4e35e6,,,,,classesatnyu.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:36:17.337Z
823bfb35-ea3a-5c43-a216-2cc44765db87,,,,,nyundergroundfilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:36:17.249Z
e1caaf2b-1ead-5578-8436-258a880dcd31,,,,,uscnyu.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:36:16.076Z
fe12eafa-2e90-518a-9928-42f88f1389b8,,,,,nyugraduatefilm.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:36:16.039Z
42b76ddc-e939-558a-b08b-817c2c903ee2,,,,,nyufilmfestival.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:36:16.025Z
96d3c66e-62df-5b47-85a1-a63855cbd09e,,,,,nyuart.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:33:19.216Z
ff986144-dfa8-55dd-9ed1-8147cbd2f4e0,,,,,nyufilmprogram.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:30:13.416Z
7f675210-f78a-530d-8d84-c6d103122afe,,,,,nyusummerclasses.info,,,,,,,,,,,,,,,,,,,2020-02-29T16:30:10.820Z
