Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
b8d5d053-018b-5735-9020-70ea466933cb,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,34.199.219.24,443,,,,,,,,,2020-03-06T22:05:04.834Z
3c015449-bdb9-5f96-84c9-110cccb276c1,,,,,,,,,,,,,vgc.poly.edu,128.238.182.100,443,,,,,,,,,2020-03-06T21:49:36.033Z
92199926-80c8-534f-af20-42ea3e38462d,,,,,,,,,,,,,redcap.bio.nyu.edu,128.122.4.29,443,,,,,,,,,2020-03-06T21:38:26.065Z
191a6227-9430-5b63-8a33-57e5ab957258,,,,,,,,,,,,,qaauth.home.nyu.edu,216.165.49.17,443,,,,,,,,,2020-03-06T21:08:22.376Z
e0915181-3edd-5782-93d7-d3c7ec08be5f,,,,,,,,,,,,,jbrowsephoenix.abudhabi.nyu.edu,91.230.41.217,443,,,,,,,,,2020-03-06T20:45:16.995Z
058e16d7-400e-567f-88c6-275e06883580,,,,,,,,,,,,,candidates.admission.shanghai.nyu.edu,107.22.237.69,443,,,,,,,,,2020-03-06T19:26:24.730Z
e8060ffc-324b-5c62-9bc6-6e3c6d4bd33b,,,,,,,,,,,,,lb03.pacloud.com,198.101.168.201,443,,,,,,,,,2020-03-06T17:16:02.866Z
e1180a09-27aa-5969-ba39-7e6cc44c8b57,,,,,,,,,,,,,www.bookstores.nyu.edu,128.122.37.209,443,,,,,,,,,2020-03-06T17:08:56.176Z
63111c92-9664-5c35-bb57-ac93390e9ad6,,,,,,,,,,,,,compliance.report.shanghai.nyu.edu,59.79.127.54,443,,,,,,,,,2020-03-06T16:53:36.549Z
7d1be0f0-8f12-5471-baa9-7e1cd8fc7575,,,,,,,,,,,,,code.engineering.nyu.edu,128.238.63.88,443,,,,,,,,,2020-03-06T13:53:12.612Z
c265aea5-c554-50fc-8fb5-dc86fa0921ca,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,72.29.126.235,443,,,,,,,,,2020-03-06T08:29:28.193Z
05d5fadb-6e35-5c46-835b-b38148ede6c2,,,,,,,,,,,,,library.nyu.edu,34.192.16.97,443,,,,,,,,,2020-03-06T07:49:32.805Z
d116226d-26a2-56e7-96e7-faf7b88c1309,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,72.29.98.156,443,,,,,,,,,2020-03-06T06:09:05.091Z
4d7c6807-5f2c-5340-a6ab-77600cd47141,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,72.29.98.167,443,,,,,,,,,2020-03-06T06:05:00.044Z
1647f251-21c6-5e61-ae54-91d062e34061,,,,,,,,,,,,,uathercules.home.nyu.edu,216.165.48.17,443,,,,,,,,,2020-03-06T05:07:17.489Z
ffb18764-17a1-5708-8031-d62a825eecc6,,,,,,,,,,,,,qanewhome.home.nyu.edu,216.165.49.21,443,,,,,,,,,2020-03-06T03:28:13.196Z
8cb85e03-dfe3-50e3-a4c3-26a8dbb69cb2,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,54.236.165.210,443,,,,,,,,,2020-03-06T02:17:06.076Z
f4f24cfd-53fa-5bda-ba38-2178636fed4e,,,,,,,,,,,,,holostor.hpc.nyu.edu,128.122.215.23,443,,,,,,,,,2020-03-06T01:55:25.625Z
a24285a0-4fb0-52f2-b017-956ef37016a3,,,,,,,,,,,,,hyper.ifa.nyu.edu,128.122.65.146,443,,,,,,,,,2020-03-06T01:29:31.817Z
4a0e53a5-6d77-5497-ba10-560a3d8eae39,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,54.156.167.203,443,,,,,,,,,2020-03-06T00:45:12.502Z
0c033186-d259-5f1f-a8b3-282f473ecc79,,,,,,,,,,,,,stu.itp.nyu.edu,128.122.157.182,443,,,,,,,,,2020-03-05T23:39:27.040Z
a50c58b3-47b4-5e24-94eb-9e7728afc471,,,,,,,,,,,,,physics.nyu.edu,216.165.26.109,443,,,,,,,,,2020-03-05T23:34:43.340Z
672b9e7a-d341-50e5-af73-bdfe78d95915,,,,,,,,,,,,,mail.nyumc.org,216.165.125.175,443,,,,,,,,,2020-03-05T23:07:40.113Z
