Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Certificate Authority,Start Date,Expiration Date,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
f826285b-405b-500f-a556-a91ebb3c1098,,,,,,,,,,,,,vpnrasa-vl415-active.net.nyu.edu,Internet2,2016-08-29T04:00:00.000Z,2019-09-11T23:59:59.000Z,128.122.252.68,443,,,,,,,,,2020-03-06T21:18:30.005Z
83b0414b-abc9-5126-8a59-8ee813834539,,,,,,,,,,,,,mc.dlib.nyu.edu,SomeOrganization,2018-04-24T16:36:50.000Z,2019-04-24T16:36:50.000Z,128.122.108.91,443,,,,,,,,,2020-03-06T18:25:32.696Z
4ea9ad1a-6250-587c-baf1-cf412e96341b,,,,,,,,,,,,,www.bookstores.nyu.edu,Internet2,2016-01-11T05:00:00.000Z,2019-04-08T23:59:59.000Z,128.122.37.206,443,,,,,,,,,2020-03-06T17:29:21.025Z
feb22309-d349-5e22-b36d-9a15208334c1,,,,,,,,,,,,,www.bookstores.nyu.edu,Internet2,2016-01-11T05:00:00.000Z,2019-04-08T23:59:59.000Z,128.122.37.209,443,,,,,,,,,2020-03-06T17:08:56.176Z
882fcf76-f8c5-5a2c-8628-9c01e5e9a75c,,,,,,,,,,,,,netmon.noc.nyu.edu,Internet2,2015-01-28T05:00:00.000Z,2018-01-27T23:59:59.000Z,128.122.128.23,443,,,,,,,,,2020-03-06T11:39:48.112Z
697ca881-a927-5b88-a41a-6084abb407f9,,,,,,,,,,,,,mobileprint.nyu.edu,Internet2,2016-01-12T05:00:00.000Z,2018-01-11T23:59:59.000Z,216.165.78.10,443,,,,,,,,,2020-03-06T04:27:36.485Z
2a7d9d44-b6cd-5344-9cf6-9e35a2271952,,,,,,,,,,,,,newclasses.nyu.edu,Internet2,2015-04-10T04:00:00.000Z,2018-04-09T23:59:59.000Z,216.165.86.168,443,,,,,,,,,2020-03-06T03:38:29.685Z
9f488618-17ea-55ae-936e-91b67a1c3efd,,,,,,,,,,,,,hyper.ifa.nyu.edu,Internet2,2013-10-02T04:00:00.000Z,2015-10-02T23:59:59.000Z,128.122.65.146,443,,,,,,,,,2020-03-06T01:29:31.817Z
77f245b9-81a8-5e33-9687-da552dfb5a52,,,,,,,,,,,,,*.adlezp.med.nyu.edu,Internet2,2012-02-09T05:00:00.000Z,2015-02-08T23:59:59.000Z,216.165.125.225,443,,,,,,,,,2020-03-05T23:12:28.896Z
02aed7ed-0900-5dfb-b3d0-9f66df94dee1,,,,,,,,,,,,,horatio.cs.nyu.edu,SomeOrganization,2018-12-06T14:41:54.000Z,2019-12-06T14:41:54.000Z,216.165.22.17,443,,,,,,,,,2020-03-05T19:40:57.834Z
62036ddb-7690-5bf2-be7a-90a591139355,,,,,,,,,,,,,ais-stg.stern.nyu.edu,Internet2,2017-11-03T04:00:00.000Z,2018-11-03T23:59:59.000Z,128.122.130.150,443,,,,,,,,,2020-03-05T16:51:29.831Z
3d519f3e-5a02-5112-8c44-db32f941a4cf,,,,,,,,,,,,,sso-d-sdc.stern.nyu.edu,Internet2,2016-04-18T04:00:00.000Z,2019-04-18T23:59:59.000Z,128.122.130.164,443,,,,,,,,,2020-03-05T16:51:15.206Z
8b52873a-b095-5f4f-bc8c-021732342b04,,,,,,,,,,,,,vpnrasa-vl415-active.net.nyu.edu,Internet2,2016-08-29T04:00:00.000Z,2019-09-11T23:59:59.000Z,128.122.252.69,443,,,,,,,,,2020-03-05T14:37:34.951Z
